Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BAX,COF,BAX,COF,BAX,COF,BAX,COF,BAX,COF
Date,,,,,,,,,,
2021-09-08,75.70074462890625,144.1620330810547,76.75265339626115,145.92442728400988,75.64585775970544,141.85879644695763,76.0757688455601,145.92442728400988,3050700,3342600
2021-09-09,74.74946594238281,145.26234436035156,75.85625478237354,148.4327840065473,74.43846356116383,144.05011241495598,75.85625478237354,144.3858071963182,3519800,2904600
2021-09-10,74.01770782470703,145.0571746826172,74.99643899841112,147.16459713377276,73.8256211807417,144.90797386281312,74.95985006928088,146.3160334782822,2512400,2855400
2021-09-13,73.75245666503906,148.1996307373047,75.24342613767334,148.66587259713927,73.47805011485627,146.31602386814512,75.21598618051765,146.46522467814955,2906600,3349600
2021-09-14,74.79519653320312,143.96617126464844,74.81349448540618,149.35592641368243,73.70670565033777,143.55587612191394,73.88964330062424,148.81508410994817,2867700,4075000
2021-09-15,76.4416732788086,148.18099975585938,76.99049327993382,148.35817394926949,74.50250183096621,144.35781059581197,74.81350425139962,144.74013235753134,5895700,3210800
2021-09-16,76.12152099609375,149.35592651367188,76.71607884365329,150.35369099585998,75.22510973657909,148.37681569123149,76.43251640577536,148.8244181537361,2691700,2627300
2021-09-17,76.47825622558594,148.7964324951172,76.49654720012153,150.26974423637466,75.65502279899673,147.752041064062,75.86540738859013,148.3581640129526,4507900,4829600
2021-09-20,75.27084350585938,145.8125,76.07577891490871,146.40928911502925,74.9324011857128,142.97775526075483,75.78307449537951,143.6864378884224,2811900,3430000
2021-09-21,74.9598388671875,145.9337158203125,76.13066348851207,148.13437817434962,74.92325692214877,145.76587556473933,75.78307220303148,147.3324415310503,2002700,2845900
2021-09-22,74.1366195678711,148.84307861328125,75.36231722344179,150.14856463716373,74.10003064072542,147.67747371440873,75.2159684934834,147.96654145275704,2445500,3001400
2021-09-23,73.89879608154297,154.8109588623047,74.4659139924286,155.86465584277477,73.84391617935624,150.12988637156354,74.22808945191213,150.73599512821826,2738500,2977000
2021-09-24,73.95366668701172,154.9508514404297,74.1549022745649,156.70392576500055,73.66096228110439,153.82255386405626,73.7341401272371,153.98107442319238,2008800,2695100
2021-09-27,73.69755554199219,158.2984161376953,73.96282001586903,158.77399189597529,73.07555777050052,156.0138340865731,73.56949779303424,156.3681824196333,2264200,2611000
2021-09-28,73.84390258789062,156.0791473388672,74.0817201060108,159.92097614859352,73.22190488930111,155.8180530058901,73.60607809114734,158.00006174373036,2932900,2935900
2021-09-29,74.83177947998047,155.30517578125,75.27083957566106,157.23540979924306,73.88048842152541,154.7177064490649,73.89878637226649,157.23540979924306,2548300,2004500
2021-09-30,73.56948852539062,151.03440856933594,75.49036149640872,156.54539147371344,73.55119755439674,150.92251506177877,75.0147194857142,156.54539147371344,3095300,2712000
2021-10-01,74.35614013671875,155.29586791992188,74.69458245146807,156.50809987837056,72.956646935081,150.94116966083894,73.69755345862481,151.63121289345142,2885000,2696400
2021-10-04,73.56035614013672,154.89488220214844,74.63055613952145,158.78333788084709,72.99324518933008,154.50324071960756,74.09088514070551,155.29584340025932,3158300,2759000
2021-10-05,73.96280670166016,157.32867431640625,75.17936207638964,159.16566861591133,73.62436443826712,155.15598526601255,73.88962886439312,156.73188522911252,2756300,2089100
2021-10-06,73.96280670166016,156.5360565185547,74.02683556461315,157.61774117987204,72.87430905283667,153.36561717725797,73.62436443826712,155.65019972277244,2949500,2032000
2021-10-07,73.70670318603516,156.54537963867188,74.91410978198003,159.85568563461743,73.61523436395008,156.38685910542554,74.22808314840627,158.27046607358082,3316000,2011100
2021-10-08,73.3591079711914,157.4032745361328,74.19149025851173,159.71583046796283,73.15787936480888,156.10712257180612,73.82560801110306,157.06757978565958,2641200,1713200
2021-10-11,72.18827056884766,154.9601593017578,73.26761906451033,160.18207455111423,72.1150927437061,154.8389460767365,73.10297244725258,158.0560125122443,2010500,1929400
2021-10-12,71.9962158203125,156.33090209960938,72.28892027157634,156.96499847728003,71.60289355968065,154.00902656289202,72.10598260652067,155.00677682187103,1394400,1697500
2021-10-13,72.07852935791016,151.15565490722656,72.49929149281765,156.4148638481211,71.77667598549067,148.7778179745263,72.00535151393755,156.25634328308453,1491100,3849900
2021-10-14,73.07555389404297,154.80165100097656,73.10299384184636,155.0627453612419,72.35293836118514,151.7524388160402,72.35293836118514,153.99971425771145,1754000,2281500
2021-10-15,72.90176391601562,157.01165771484375,73.50547072907925,158.75539821106608,72.88347294226708,155.96726597775896,73.17617737261256,156.65730924792425,1783600,2762800
2021-10-18,71.51141357421875,157.73895263671875,72.81028893796518,159.1376782446213,71.29188701466443,155.7527577203539,72.81028893796518,156.0045323137767,1822900,1760600
2021-10-19,72.88347625732422,158.326416015625,72.9292141617121,158.93253901463092,71.70350950608594,156.46144844066538,71.74924741047381,158.70873778334933,2527800,1955000
2021-10-20,74.3195571899414,161.55282592773438,74.75861733685821,161.75797351164283,72.97494377712503,156.89972642519137,73.04812163138189,157.51516917691677,2270000,2614000
2021-10-21,74.51163482666016,154.50323486328125,74.80433922972134,162.85828129794155,73.89878607316072,153.92509949124042,74.73116138430018,160.8347932672258,1349100,3420600
2021-10-22,75.17936706542969,156.508056640625,75.22509798278938,157.9907022694297,74.5207804435667,154.44727568630262,74.63968920304963,155.72477376826458,1348400,2943300
2021-10-25,74.42017364501953,157.2913818359375,75.55440245093034,158.373066605148,74.31040686562527,154.99747934557183,75.3440248470382,156.85312748092903,2621100,2368800
2021-10-26,74.81349182128906,153.7199249267578,75.11534521427434,158.52220970582982,74.2463739597977,153.449496718672,74.53907837700723,157.86947404099047,1557700,3204000
2021-10-27,74.9507064819336,142.2037353515625,75.36231971332914,150.58676723326082,74.79520179177072,141.5323460857155,75.21597097853554,149.32790880265537,2764000,7343000
2021-10-28,71.90473937988281,142.2037353515625,77.10939704994442,143.5371799418672,71.6486238844534,140.320114676349,75.29828365157033,142.49280296324707,7344300,4440300
2021-10-29,72.22488403320312,140.83302307128906,72.63650420558245,143.6677817086743,70.94429957239612,140.0777134918735,71.44738856798512,142.52081642352837,7995500,3863700
2021-11-01,73.01153564453125,142.67933654785156,73.32253804833522,144.37646383923357,72.13342229395907,141.93336091459275,72.44441771913847,141.98930766422987,3375600,3181700
2021-11-02,73.4414291381836,141.65362548828125,73.92622011276593,143.61183304194162,72.57245799515344,140.68383431340473,73.33166237882381,142.87517705883056,2152200,3788000
2021-11-03,73.2127685546875,143.50926208496094,74.03600197122105,144.86137508104855,72.79200635926465,140.48802344858788,73.50547299405228,140.8050645499351,1648900,3334100
2021-11-04,71.63033294677734,143.0989990234375,73.38656661913727,144.99194038032024,71.20957073756728,142.01731418276836,73.25850188025856,142.67005012849063,2638900,2462500
2021-11-05,71.38336181640625,144.41378784179688,72.53588856326446,146.95014537779872,71.12724631235422,143.83565233369723,71.48397961851585,145.08517743830186,2606800,2389600
2021-11-08,72.02364349365234,145.0198974609375,72.34378784223404,147.10865225246553,71.1821192120595,144.33917398180748,71.63947027535433,145.91507402057098,1626400,2279200
2021-11-09,71.07234954833984,144.9266357421875,71.98705163765501,145.57005186408324,70.94429181412558,142.85652049285957,71.94132072036314,144.1246990759742,2476800,2154400
2021-11-10,72.27975463867188,145.72857666015625,72.78284356958065,147.77071859233726,71.15467499845477,144.98258672563438,71.15467499845477,144.98258672563438,2494400,2274600
2021-11-11,72.40782165527344,146.53982543945312,72.57246133395327,147.9478851025818,71.96876157625759,145.3835546182679,72.31634586228704,145.72856907574106,1776100,1822700
2021-11-12,72.6822280883789,146.77386474609375,72.9109036135671,147.26997423355616,72.27061493448946,145.11703845381086,72.78284587775157,146.80194533722494,1216200,2143700
2021-11-15,72.76457214355469,146.36196899414062,72.91092088545966,148.29960082655236,71.95048763932584,145.87521503593098,72.79201209649781,146.77383662930987,1609700,1772000
2021-11-16,72.54502868652344,143.98439025878906,73.13043753169586,146.4930178296293,72.43526888969356,142.9828017474497,72.55417766246724,146.4930178296293,1978100,2678300
2021-11-17,72.7920150756836,142.23397827148438,73.31339513881633,145.08895738635366,71.9962215146388,142.15909193434422,72.46272166963921,143.8720794032658,2249700,3107900
2021-11-18,72.36209106445312,143.2074737548828,73.20361540735193,144.09672572002958,72.3437931125592,140.8486043336593,73.17617545813496,142.3463023783012,2099000,2485400
2021-11-19,72.49930572509766,141.64427185058594,72.83774110731811,142.79561893473797,72.04195457842164,139.0233071780434,72.64565446314914,140.87669760574568,2381400,2754900
2021-11-22,72.49015045166016,143.41342163085938,73.11214823625785,144.7613328632464,72.06938827070056,141.3166470197432,72.62735717947014,143.56318002349673,1708000,2681000
2021-11-23,71.72178649902344,146.29644775390625,72.3254861844942,146.71768513417817,71.40163521911941,143.41340268378934,72.19742846398154,144.15288196253672,1707300,2596000
2021-11-24,70.99918365478516,145.8939666748047,72.02364560021017,147.85969373295566,70.79794806446994,145.14511759155153,71.74009016583341,145.21064849227375,1338800,2308700
2021-11-26,69.78263854980469,139.62237548828125,71.3467786284551,140.91412545291521,69.56311195419357,135.13865092920864,71.09981208072067,140.91412545291521,1281100,3081400
2021-11-29,69.54480743408203,137.61923217773438,70.40462973876113,142.0280567510918,69.5082185084974,136.38362893226503,69.81007191060269,141.56939753554514,2506600,4261600
2021-11-30,68.20935821533203,131.54417419433594,69.66373867144299,136.66441044047335,67.98068261356698,131.21654831907887,69.42591409159219,135.86875576233797,3440600,6024200
2021-12-01,68.67584991455078,129.52232360839844,70.07534330791638,136.16834023492447,68.16361188440005,129.50361273473519,68.46546531631705,135.26036295341885,2502400,3540600
2021-12-02,69.98876953125,134.1932373046875,70.33765499656278,135.8874995177677,68.6574822200283,130.11202501351482,68.75847667138814,130.77663228915836,2726700,3028400
2021-12-03,71.65975952148438,132.8265838623047,71.74238752505768,134.55829634591237,70.19993508229373,131.68459230892907,70.37438131838981,133.87497821417358,2510300,2772900
2021-12-06,72.7523193359375,136.6082763671875,74.00097154907198,138.3961501767726,71.81583367846021,134.72679106521562,71.97191345391523,135.7096546028431,3046400,2928700
2021-12-07,73.33992004394531,139.07945251464844,74.31313860186035,141.44767731442627,72.93594926975616,137.86257466784753,73.00939404386054,138.50845675562454,2793600,2840800
2021-12-08,74.01016998291016,139.2947540283203,74.32232959797436,140.4554708013721,73.28484928321865,138.5459049580646,73.5051976588374,139.36964036365669,1886700,2513300
2021-12-09,73.96424865722656,139.63174438476562,74.61611745590848,141.07328143735273,73.29402041558416,137.65666179783264,73.88162065678328,138.76121746126643,1935500,2311500
2021-12-10,74.23969268798828,140.79244995117188,74.59776138224323,141.76594372899493,73.83571487713748,139.00457621633575,74.28560180458413,140.89541687524903,2131300,2415300
2021-12-13,76.38809967041016,136.70188903808594,76.9114313422541,139.91257505306476,73.83570986721516,136.26195496681305,74.34068209651514,139.71599661006195,3103800,2608000
2021-12-14,75.75459289550781,138.4616241455078,76.9022506178169,139.96867729683308,75.57096345709026,136.20572213507674,76.41564486431734,137.24474653484887,2662700,2213900
2021-12-15,75.92901611328125,137.96556091308594,76.36971966791197,139.15435833854,74.8639936137705,134.79232548853437,75.99328465200392,138.8641827009107,2300500,2702700
2021-12-16,77.03996276855469,138.55528259277344,77.21440196060314,140.63333209697853,75.43324212785652,137.9281255669975,75.8280296178718,140.15593346732322,3076100,3341700
2021-12-17,76.78289794921875,134.86721801757812,78.123361471767,137.92813121529954,76.42482926191636,133.51929241553165,77.44394998877625,137.92813121529954,4688100,9081100
2021-12-20,75.75459289550781,129.50363159179688,76.44318752889328,132.17138835444788,75.19453536664123,127.79064371694345,76.32382664273514,131.41318365050378,2631700,3246500
2021-12-21,77.00325012207031,134.3336639404297,77.45313001747384,134.55832297810403,75.83722587685956,131.15107279714812,75.97494621354353,131.3944427089628,2731000,2509900
2021-12-22,78.33453369140625,134.53958129882812,78.39880225062107,135.2884303826708,76.69108681462983,133.04189741425103,77.23278496065274,133.82818252488713,2301000,1669400
2021-12-23,78.54569244384766,135.82199096679688,79.03229816715876,137.33840001515986,78.34370357649293,135.71902403862975,78.54569244384766,135.97174935795132,2033700,1720300
2021-12-27,79.50972747802734,136.5614471435547,79.5739960318043,136.74865581303519,78.4906068361734,134.40851173676404,78.77523072125452,136.1589492183269,1220700,1291800
2021-12-28,79.64745330810547,136.8516387939453,79.96879609917715,138.42422322508023,79.33529374099227,135.30714923548223,79.53727563484625,135.52243851651053,1227800,1025700
2021-12-29,80.05142211914062,136.28062438964844,80.27177043617637,137.34772949668164,79.51890726528642,135.92493220937448,79.7576220281774,136.85162010465513,1280300,1331900
2021-12-30,79.37201690673828,136.18702697753906,80.34523556113115,137.88128896829187,79.29857212535312,136.04660976601411,80.25342433083881,136.4303968145011,1346600,1213400
